"","X","Transect_Site","WD","logFruitLength","logFruitWidth","logSeedLength","logSeedWidth","logSugar","logFat","logProtein","logNitrogen","logTannins","logSLA","Species","Predicted","tpi","roughness","slope","aspect","flowdir","lat","long","Site"
"100",100,"Miaranony_B",0.588560357344322,3.03676985274735,2.86561446610567,2.42377237255214,2.06536635269837,2.28601680134303,1.65756222051759,3.56004312865205,0.91602422501635,0.120037763177364,2.38138555879181,"Eulemur_rubriventer",2.624605193,-48.625,468,13.5005877,211.1290319,16,-21.163,47.542,"Miaranony"
"101",101,"Miaranony_C",0.581395917703981,3.01149919577954,2.87352448125718,2.39302780379003,2.0726210911142,2.30386464098144,1.61072641865068,3.31040853658181,0.886225069396077,0.115555546926974,2.4115122771705,"Cheirogaleus_crossleyi",1.080611782,70.5,529,11.19405811,207.2431979,16,-21.157,47.543,"Miaranony"
"102",102,"Miaranony_C",0.581395917703981,3.01149919577954,2.87352448125718,2.39302780379003,2.0726210911142,2.30386464098144,1.61072641865068,3.31040853658181,0.886225069396077,0.115555546926974,2.4115122771705,"Lepilemur_microdon",0.131841278,70.5,529,11.19405811,207.2431979,16,-21.157,47.543,"Miaranony"
"103",103,"Miaranony_C",0.581395917703981,3.01149919577954,2.87352448125718,2.39302780379003,2.0726210911142,2.30386464098144,1.61072641865068,3.31040853658181,0.886225069396077,0.115555546926974,2.4115122771705,"Propithecus_edwardsi",3.261680702,70.5,529,11.19405811,207.2431979,16,-21.157,47.543,"Miaranony"
"104",104,"Miaranony_C",0.581395917703981,3.01149919577954,2.87352448125718,2.39302780379003,2.0726210911142,2.30386464098144,1.61072641865068,3.31040853658181,0.886225069396077,0.115555546926974,2.4115122771705,"Varecia_variegata",0.891769324,70.5,529,11.19405811,207.2431979,16,-21.157,47.543,"Miaranony"
"105",105,"Miaranony_C",0.581395917703981,3.01149919577954,2.87352448125718,2.39302780379003,2.0726210911142,2.30386464098144,1.61072641865068,3.31040853658181,0.886225069396077,0.115555546926974,2.4115122771705,"Eulemur_rufifrons",2.753573887,70.5,529,11.19405811,207.2431979,16,-21.157,47.543,"Miaranony"
"106",106,"Miaranony_C",0.581395917703981,3.01149919577954,2.87352448125718,2.39302780379003,2.0726210911142,2.30386464098144,1.61072641865068,3.31040853658181,0.886225069396077,0.115555546926974,2.4115122771705,"Hapalemur_griseus",1.089939659,70.5,529,11.19405811,207.2431979,16,-21.157,47.543,"Miaranony"
"107",107,"Miaranony_C",0.581395917703981,3.01149919577954,2.87352448125718,2.39302780379003,2.0726210911142,2.30386464098144,1.61072641865068,3.31040853658181,0.886225069396077,0.115555546926974,2.4115122771705,"Avahi_laniger",0.512950054,70.5,529,11.19405811,207.2431979,16,-21.157,47.543,"Miaranony"
"108",108,"Miaranony_C",0.581395917703981,3.01149919577954,2.87352448125718,2.39302780379003,2.0726210911142,2.30386464098144,1.61072641865068,3.31040853658181,0.886225069396077,0.115555546926974,2.4115122771705,"Microcebus_rufus",2.641076325,70.5,529,11.19405811,207.2431979,16,-21.157,47.543,"Miaranony"
"109",109,"Miaranony_C",0.581395917703981,3.01149919577954,2.87352448125718,2.39302780379003,2.0726210911142,2.30386464098144,1.61072641865068,3.31040853658181,0.886225069396077,0.115555546926974,2.4115122771705,"Eulemur_rubriventer",3.729156954,70.5,529,11.19405811,207.2431979,16,-21.157,47.543,"Miaranony"
